mountainNum,지점명,위도,경도,고도
1,설악산(정상),38.119169,128.465222,1708
2,설악산(권금성대피소),38.1609,128.485553,781
3,오대산(정상),37.7941,128.5431,1565
4,오대산(탐방센터),37.7,128.604167,612
5,치악산(정상),37.365167,128.055611,1288
6,치악산(구룡탐방센터),37.414139,128.050389,265
7,태백산(정상),37.0964,128.9161,1567
8,아미산(정상),37.772222,128.227222,961
9,광덕산(정상),38.11619,127.43198,1046
10,삼악산(정상),37.8398,127.6605,656
11,팔봉산(정상),37.6959,127.6966,328
12,태기산(정상),37.601944,128.285556,1261
13,가리왕산(정상),37.462222,128.563056,1561
14,청옥산(정상),37.410539,128.508367,1256
15,두타산(정상),37.4264,129.0047,1353
16,삽당령,37.57516,128.85145,680
17,진부령,38.2567,128.3725,520
18,한계령,38.09753,128.4051,1004
19,원창고개,37.8103,127.7671,321
20,치악재,37.2578,128.042,450
21,속사재,37.6491,128.5146,792
22,뱃재,37.4213,128.4217,488
23,광치령,38.1475,128.0891,660
24,황재,37.48,128.15,500
25,태기산,37.59,128.29,845
26,고사리재,37.84,128.25,700
27,진고개,37.76,128.61,960
28,어평재,37.12,128.89,940
29,마차재,37.27,128.67,720
30,통리재,37.17,129.04,720
31,문재,37.43,128.29,800
32,운두령,37.7,128.43,1089
33,원동재,37.28,128.4,406
34,멧둔재,37.33,128.45,660
35,비행기재,37.35,128.57,650
36,느릅재,37.18,128.3,330
37,두문동재,37.2,128.9,1280
38,너그니재,37.5,128.82,720
39,백복령,37.53,128.97,780
40,북한산(정상),37.6587,126.978,836
42,연인산(정상),37.898333,127.414444,1068
43,남한산성(정상),37.457778,127.189722,507
44,수리산(정상),37.373056,126.913611,489
45,천마산(정상),37.681111,127.274722,812
46,명지산(정상),37.9414,127.4321,1252
47,도봉산(정상),37.699167,127.015833,739.5
48,소요산(정상),37.9372,127.087,588
49,운악산(정상),37.8768,127.3252,935
50,용문산(정상),37.5611,127.5457,1157
51,청계산(정상),37.415278,127.041667,618
52,마니산(정상),37.615278,126.430556,469.4
53,계룡산(정상),36.3423,127.2057,847
55,칠갑산(정상),36.4129,126.8848,560
56,광덕산(천안정상),36.687778,127.0275,699
57,속리산(정상),36.543286,127.870856,1058
59,월악산(정상),36.886114,128.105736,1094
61,민주지산(정상),36.04,127.848889,1242
62,월출산(정상),34.7667,126.7041,749
63,월출산(관리사무소),34.775278,126.721944,84
64,지리산(노고단대피소),35.295847,127.526017,1350
65,무등산(정상),35.124,127.0089,1187
67,조계산(정상),35.001667,127.313333,884
68,팔영산(정상),34.616944,127.436111,599
69,천관산(정상),34.53284,126.9158,723
70,두륜산(정상),34.4718,126.6376,700
71,백운산(정상),35.106389,127.621667,1215
72,첨찰산(정상),34.476389,126.321389,485
75,내장산(정상),35.47832,126.8892,763
77,덕유산(정상),35.859067,127.745839,1614
79,대둔산(정상),36.1234,127.3193,878
80,마이산(정상),35.760902,127.412018,687
81,모악산(정상),35.728611,127.085278,793
82,선운산,35.5175,126.576944,336
83,장안산(정상),35.628611,127.595278,1237
84,강천산(정상),35.403333,127.047778,584
85,지리산(뱀사골),35.371389,127.577778,492
86,지리산(정상),35.3371,127.7306,1915
88,가야산,35.823125,128.120825,1430
90,가지산(정상),35.620356,129.003089,1240
91,연화산(정상),35.071,128.265,524
92,신불산(정상),35.5397,129.0525,1159
93,화왕산(정상),35.5468,128.5325,756
94,기백산(정상),35.706667,127.781944,1331
95,황매산(정상),35.495556,127.974167,1108
96,웅석봉(정상),35.363611,127.876944,1099
97,방어산(정상),35.253333,128.292778,530
98,봉명산(정상),35.085983,127.915081,407
99,호구산(정상),34.791111,127.905278,618
100,천태산(정상),35.420278,128.903056,631
101,대성산(정상),35.385556,127.942778,599
102,무학산(정상),35.209722,128.535,761
103,장산(정상),35.194167,129.144444,634
104,금정산(정상),35.28,129.051111,802
105,주왕산(정상),36.3895,129.1627,722
106,주왕산(탐방안내소),36.394078,129.142108,276
